feature_id	source_population_variance_log1p_cpm	source_mean_log1p_cpm	source_scale_log1p_cpm
YBX3	0.2603674829006195	2.656652273346181	0.5102621730843024
AIM2	0.2602700889110565	0.9076957793413908	0.5101667172116342
ZNF354B	0.26009005308151245	1.7058838006408734	0.5099902578710535
EFCAB13	0.2599622905254364	1.1840230788307629	0.5098649749407027
MAP1A	0.25986340641975403	0.9231756214209443	0.5097679982598529
BICDL1	0.25952139496803284	1.746475497653201	0.5094324099816893
RNASEK-C17orf49	0.2594218850135803	0.5386148796798625	0.5093347372972975
LINC00665	0.25913408398628235	0.9971129762943677	0.5090521386570978
FTX	0.25867778062820435	2.266604413246286	0.5086037668792311
USP46	0.25857654213905334	2.084211033194458	0.5085042322263473
RGPD5	0.2585351765155792	1.4253365959244213	0.5084635562461972
CTSW	0.25840502977371216	4.1560777905343596	0.5083355479202065
SNURF	0.25836750864982605	1.4381838146297412	0.5082986318105696
TENT5C	0.25815021991729736	2.8151680185420305	0.5080848425943248
RHBDL1	0.25791415572166443	0.8789997192749118	0.5078524904493852
IGF1R	0.25787121057510376	1.6003327091078192	0.5078102027651779
IFI30	0.2577584683895111	1.3992879852024531	0.507699191418257
MCRIP1	0.2575322091579437	0.7925855888489106	0.5074763019660321
PAQR8	0.25737738609313965	1.4815115697995913	0.5073237540851053
ZNF43	0.25701406598091125	2.3457696593127486	0.5069655427471592
CDCA7	0.2569339871406555	1.4419337504211514	0.5068865585467688
ABCB1	0.2569175362586975	1.3740714887777965	0.5068703462247324
TMEM45B	0.2565104067325592	1.4162145883872592	0.5064685732161975
OCLN	0.2564941942691803	1.0421825744411497	0.5064525564468277
LINC00944	0.2564341127872467	1.1091837745117046	0.5063932372449085
ADAM28	0.25642725825309753	0.8267964970220552	0.506386460367848
ERAP2	0.25601914525032043	3.6297688237551986	0.5059833387232451
AVPI1	0.2559279501438141	1.392974773814395	0.5058932296460993
GSTM2	0.2555585205554962	1.0021296994211117	0.5055279706215597
MZF1-AS1	0.2555300295352936	2.50873473092514	0.5054997737526082
