dataset_id	repeat	split_seed	method	roc_auc	pr_auc	brier
SLE_GSE285773_CD4	10	20260810	Mean-HVG pseudobulk	0.90625	0.9526041666666668	0.1459507903937823
SLE_GSE285773_CD4	10	20260810	PCA pseudobulk	0.9375	0.9694940476190476	0.1652918471409755
SLE_GSE285773_CD4	11	20260811	Frozen Geneformer	0.89375	0.9481962719298246	0.17835506501376
SLE_GSE285773_CD4	11	20260811	Mean-HVG pseudobulk	0.9125	0.9531751336898396	0.1577344721157415
SLE_GSE285773_CD4	11	20260811	PCA pseudobulk	0.96875	0.9827786377708978	0.0885760218776632
SLE_GSE285773_CD4	12	20260812	Frozen Geneformer	0.9125	0.9516597630955216	0.1961315730304072
SLE_GSE285773_CD4	12	20260812	Mean-HVG pseudobulk	0.925	0.9602610930735932	0.1524272843087461
SLE_GSE285773_CD4	12	20260812	PCA pseudobulk	0.95	0.9791666666666666	0.2316354666159176
SLE_GSE285773_CD4	13	20260813	Frozen Geneformer	0.8750000000000001	0.9434840838509316	0.2285254579753643
SLE_GSE285773_CD4	13	20260813	Mean-HVG pseudobulk	0.8562500000000001	0.9283526232539392	0.1953344078006149
SLE_GSE285773_CD4	13	20260813	PCA pseudobulk	0.8625	0.935205314009662	0.2358171739623071
SLE_GSE285773_CD4	14	20260814	Frozen Geneformer	0.8875	0.9411828234638338	0.1680397181579403
SLE_GSE285773_CD4	14	20260814	Mean-HVG pseudobulk	0.875	0.9327933351370852	0.1788337283853591
SLE_GSE285773_CD4	14	20260814	PCA pseudobulk	0.89375	0.939093943498452	0.1539484602123472
SLE_GSE285773_CD4	15	20260815	Frozen Geneformer	0.9	0.9496824733237776	0.1976621847094703
SLE_GSE285773_CD4	15	20260815	Mean-HVG pseudobulk	0.94375	0.9699536064425772	0.139663189735439
SLE_GSE285773_CD4	15	20260815	PCA pseudobulk	0.91875	0.9584646358543418	0.1484126588726013
SLE_GSE285773_CD4	16	20260816	Frozen Geneformer	0.8250000000000001	0.8741886962675006	0.1831817327383779
SLE_GSE285773_CD4	16	20260816	Mean-HVG pseudobulk	0.8937499999999999	0.9488484077841663	0.1675335263953425
SLE_GSE285773_CD4	16	20260816	PCA pseudobulk	0.8875000000000001	0.9365045371295372	0.1681608567356761
