variant	stratum	control_type	draw	repeat	seed	n_donors	n_cases	roc_auc
clr_composition	pure_wave_4	observed	0	2	20260802	66	25	0.8858536585365855
clr_composition	pure_wave_4	observed	0	3	20260803	66	25	0.9121951219512195
clr_composition	pure_wave_4	observed	0	4	20260804	66	25	0.8409756097560975
clr_composition	pure_wave_4	observed	0	5	20260805	66	25	0.9121951219512195
clr_composition	pure_wave_4	observed	0	6	20260806	66	25	0.8419512195121952
clr_composition	pure_wave_4	observed	0	7	20260807	66	25	0.8907317073170732
clr_composition	pure_wave_4	observed	0	8	20260808	66	25	0.8400000000000001
clr_composition	pure_wave_4	observed	0	9	20260809	66	25	0.8712195121951221
clr_composition	pure_wave_4	observed	0	10	20260810	66	25	0.8878048780487805
clr_composition	pure_wave_4	observed	0	11	20260811	66	25	0.8497560975609757
clr_composition	pure_wave_4	observed	0	12	20260812	66	25	0.8575609756097561
clr_composition	pure_wave_4	observed	0	13	20260813	66	25	0.8712195121951221
clr_composition	pure_wave_4	observed	0	14	20260814	66	25	0.8546341463414635
clr_composition	pure_wave_4	observed	0	15	20260815	66	25	0.8351219512195122
clr_composition	pure_wave_4	observed	0	16	20260816	66	25	0.8839024390243903
clr_composition	pure_wave_4	observed	0	17	20260817	66	25	0.8351219512195123
clr_composition	pure_wave_4	observed	0	18	20260818	66	25	0.8419512195121951
clr_composition	pure_wave_4	observed	0	19	20260819	66	25	0.9053658536585366
clr_composition	pure_wave_4	observed	0	20	20260820	66	25	0.8692682926829268
clr_composition	pure_wave_4	size_label_matched	1	1	20260801	66	25	0.926829268292683
clr_composition	pure_wave_4	size_label_matched	2	2	20260802	66	25	0.9190243902439025
clr_composition	pure_wave_4	size_label_matched	3	3	20260803	66	25	0.9141463414634148
clr_composition	pure_wave_4	size_label_matched	4	4	20260804	66	25	0.9209756097560975
clr_composition	pure_wave_4	size_label_matched	5	5	20260805	66	25	0.8702439024390244
clr_composition	pure_wave_4	size_label_matched	6	6	20260806	66	25	0.7463414634146341
clr_composition	pure_wave_4	size_label_matched	7	7	20260807	66	25	0.8868292682926829
clr_composition	pure_wave_4	size_label_matched	8	8	20260808	66	25	0.8878048780487805
clr_composition	pure_wave_4	size_label_matched	9	9	20260809	66	25	0.9102439024390244
clr_composition	pure_wave_4	size_label_matched	10	10	20260810	66	25	0.9658536585365853
clr_composition	pure_wave_4	size_label_matched	11	11	20260811	66	25	0.9463414634146341
clr_composition	pure_wave_4	size_label_matched	12	12	20260812	66	25	0.9141463414634147
clr_composition	pure_wave_4	size_label_matched	13	13	20260813	66	25	0.8995121951219512
clr_composition	pure_wave_4	size_label_matched	14	14	20260814	66	25	0.9590243902439024
clr_composition	pure_wave_4	size_label_matched	15	15	20260815	66	25	0.88
clr_composition	pure_wave_4	size_label_matched	16	16	20260816	66	25	0.8839024390243904
clr_composition	pure_wave_4	size_label_matched	17	17	20260817	66	25	0.8770731707317073
clr_composition	pure_wave_4	size_label_matched	18	18	20260818	66	25	0.9307317073170732
