repeat	split_seed	method	adjustment	n_donors	roc_auc	pr_auc	brier
7	20260807	Covariates only: combined	combined	261	0.9483726150392817	0.9695265997904703	0.08978682625056127
7	20260807	Frozen Geneformer	combined	261	0.6659184436962216	0.7934956081553206	0.22837068030679677
7	20260807	Mean-HVG pseudobulk	combined	261	0.6243297169223095	0.7432953496377575	0.327322998344159
7	20260807	PCA pseudobulk	combined	261	0.7226586856216485	0.8381207633876344	0.21362849114250929
8	20260808	Frozen Geneformer	unadjusted	261	0.9745604190048635	0.9845360901500331	0.06755454899376255
8	20260808	Mean-HVG pseudobulk	unadjusted	261	0.989587230327971	0.9938331650306409	0.040503384814562754
8	20260808	PCA pseudobulk	unadjusted	261	0.9772415513156254	0.9865585275125128	0.06136245917535485
8	20260808	Covariates only: cell_yield	cell_yield	261	0.686307519640853	0.7780499898102415	0.22316041589034322
8	20260808	Frozen Geneformer	cell_yield	261	0.9222471629879037	0.9514200520797673	0.11334630163115375
8	20260808	Mean-HVG pseudobulk	cell_yield	261	0.9719416386083053	0.9831316167575236	0.07322368121938402
8	20260808	PCA pseudobulk	cell_yield	261	0.9521760818057114	0.9729602641982746	0.0907065827793654
8	20260808	Covariates only: qc_core	qc_core	261	0.7622521511410401	0.8548942354722767	0.19803281000702858
8	20260808	Frozen Geneformer	qc_core	261	0.8888265369746852	0.9187336452957088	0.1348326053540171
8	20260808	Mean-HVG pseudobulk	qc_core	261	0.9472502805836139	0.965593144693347	0.09127185577943055
8	20260808	PCA pseudobulk	qc_core	261	0.9110861703454296	0.9427814838690155	0.1199230805805557
8	20260808	Covariates only: acquisition_structure	acquisition_structure	261	0.6133246040653448	0.7303851777171149	0.22136570938204497
8	20260808	Frozen Geneformer	acquisition_structure	261	0.9281705948372615	0.957982968393654	0.11194883908741263
8	20260808	Mean-HVG pseudobulk	acquisition_structure	261	0.9641476493328345	0.9795118873152032	0.07825419638548357
8	20260808	PCA pseudobulk	acquisition_structure	261	0.9409527372490335	0.9643452481537547	0.10915413491427943
8	20260808	Covariates only: processing_cohort	processing_cohort	261	0.9225900985160244	0.9413469396403952	0.106288898352317
8	20260808	Frozen Geneformer	processing_cohort	261	0.7509664546701584	0.8490032175523052	0.2020596261682515
8	20260808	Mean-HVG pseudobulk	processing_cohort	261	0.7393689986282581	0.8257833485537012	0.26581283425892266
8	20260808	PCA pseudobulk	processing_cohort	261	0.7371866816311261	0.8493694261154321	0.20722965996033257
8	20260808	Covariates only: demographic	demographic	261	0.6624267365008105	0.7209157713687584	0.23578610455291657
8	20260808	Frozen Geneformer	demographic	261	0.9637111859334082	0.9796849437922063	0.08160599845783134
8	20260808	Mean-HVG pseudobulk	demographic	261	0.9814191295672777	0.9895845743877876	0.06876289669433827
8	20260808	PCA pseudobulk	demographic	261	0.9728769173213617	0.9852912806243732	0.06312349642329636
8	20260808	Covariates only: combined	combined	261	0.9506172839506173	0.9724422263614708	0.0891259956422369
8	20260808	Frozen Geneformer	combined	261	0.6738994887143035	0.80909402980838	0.22703147499873122
8	20260808	Mean-HVG pseudobulk	combined	261	0.6371742112482853	0.7659672292292332	0.3240491833291279
8	20260808	PCA pseudobulk	combined	261	0.6782641227085672	0.8134843760465288	0.22205265445875097
9	20260809	Frozen Geneformer	unadjusted	261	0.9739368998628257	0.9839058252044265	0.0672672275356476
9	20260809	Mean-HVG pseudobulk	unadjusted	261	0.9876543209876543	0.9928196077955362	0.03976270195793337
9	20260809	PCA pseudobulk	unadjusted	261	0.9788627010849233	0.988379091577442	0.05523479983488017
9	20260809	Covariates only: cell_yield	cell_yield	261	0.6890510038658185	0.7866714396789058	0.22178554068055378
9	20260809	Frozen Geneformer	cell_yield	261	0.9203142536475869	0.9489982447112585	0.11676433200013214
9	20260809	Mean-HVG pseudobulk	cell_yield	261	0.962152388078314	0.9763970377439224	0.08400234684166703
9	20260809	PCA pseudobulk	cell_yield	261	0.9496196533233571	0.9707688634940536	0.09251361241090121
9	20260809	Covariates only: qc_core	qc_core	261	0.7682379349046016	0.8620878965613126	0.19658481222561974
9	20260809	Frozen Geneformer	qc_core	261	0.8772290809327846	0.9096418172801137	0.1427606126166354
9	20260809	Mean-HVG pseudobulk	qc_core	261	0.9272976680384087	0.9528375787866575	0.1159581406983465
9	20260809	PCA pseudobulk	qc_core	261	0.9037909963835891	0.9388840534485258	0.1292431741781834
9	20260809	Covariates only: acquisition_structure	acquisition_structure	261	0.6211497692979175	0.7354705226426238	0.22182466649708218
9	20260809	Frozen Geneformer	acquisition_structure	261	0.9340316747724156	0.9605556381113343	0.10726209394017563
9	20260809	Mean-HVG pseudobulk	acquisition_structure	261	0.9629006110487591	0.979056931548695	0.07764578713643559
9	20260809	PCA pseudobulk	acquisition_structure	261	0.9455044269859084	0.9687207579295201	0.10102239794530964
9	20260809	Covariates only: processing_cohort	processing_cohort	261	0.921374236189051	0.939840050381268	0.10894328360363462
9	20260809	Frozen Geneformer	processing_cohort	261	0.7421124828532235	0.8425662001096181	0.20537956205508612
9	20260809	Mean-HVG pseudobulk	processing_cohort	261	0.6974061603691234	0.7905030871517088	0.2947754925463156
9	20260809	PCA pseudobulk	processing_cohort	261	0.7387454794862203	0.8560222508408989	0.20504918421869098
9	20260809	Covariates only: demographic	demographic	261	0.6679137049507419	0.7336489894814887	0.2342993894062344
9	20260809	Frozen Geneformer	demographic	261	0.9600947749095897	0.978169039888048	0.08384751423988392
9	20260809	Mean-HVG pseudobulk	demographic	261	0.9766180321735878	0.9875215770325465	0.0769682588810402
9	20260809	PCA pseudobulk	demographic	261	0.9709440079810451	0.9847056777702152	0.064117920280827
9	20260809	Covariates only: combined	combined	261	0.9491831899239308	0.9713267045619568	0.0925993435703644
9	20260809	Frozen Geneformer	combined	261	0.6675395934655194	0.7958147699052327	0.22829044869664
9	20260809	Mean-HVG pseudobulk	combined	261	0.6228956228956228	0.7418952685684234	0.3279499526926521
9	20260809	PCA pseudobulk	combined	261	0.679885272477865	0.8221492824623071	0.22155646277386234
10	20260810	Frozen Geneformer	unadjusted	261	0.9737498441202145	0.9835934204901953	0.06764448758061839
10	20260810	Mean-HVG pseudobulk	unadjusted	261	0.9890260631001371	0.9932991672179297	0.042144324122213736
10	20260810	PCA pseudobulk	unadjusted	261	0.9773039032298292	0.9865224071054375	0.058109418563345845
10	20260810	Covariates only: cell_yield	cell_yield	261	0.6872427983539094	0.7804495683648807	0.22264480313814114
10	20260810	Frozen Geneformer	cell_yield	261	0.9193166230203267	0.949307005734065	0.11606421695655493
10	20260810	Mean-HVG pseudobulk	cell_yield	261	0.9672028931288191	0.9794997079770725	0.07740489906900087
10	20260810	PCA pseudobulk	cell_yield	261	0.957101883027809	0.9747586419945655	0.09029900306003928
10	20260810	Covariates only: qc_core	qc_core	261	0.7677391195909713	0.8611445430626604	0.19564008175927583
10	20260810	Frozen Geneformer	qc_core	261	0.8900735752587604	0.9215601060317298	0.13603129353460558
10	20260810	Mean-HVG pseudobulk	qc_core	261	0.9410150891632373	0.9638773379682807	0.10253047491027507
10	20260810	PCA pseudobulk	qc_core	261	0.9135802469135802	0.9443675066557167	0.11859276556813649
10	20260810	Covariates only: acquisition_structure	acquisition_structure	261	0.6405412146152887	0.7472773411326705	0.2192251212036176
10	20260810	Frozen Geneformer	acquisition_structure	261	0.9346551939144532	0.9605920770295507	0.10741934700533551
10	20260810	Mean-HVG pseudobulk	acquisition_structure	261	0.9663299663299663	0.9807525593846845	0.07226713266494963
10	20260810	PCA pseudobulk	acquisition_structure	261	0.9494949494949495	0.9697660654376166	0.09439171123030068
10	20260810	Covariates only: processing_cohort	processing_cohort	261	0.9175395934655194	0.9392067389211982	0.10983571424008329
10	20260810	Frozen Geneformer	processing_cohort	261	0.7406783888265369	0.83974444244832	0.20495819421422098
10	20260810	Mean-HVG pseudobulk	processing_cohort	261	0.6969696969696969	0.7990458244287748	0.3046405561321549
10	20260810	PCA pseudobulk	processing_cohort	261	0.7309514902107495	0.846650941461716	0.20968812028916578
10	20260810	Covariates only: demographic	demographic	261	0.6634555430851726	0.7397380304335024	0.2343650471479949
10	20260810	Frozen Geneformer	demographic	261	0.9597206634243671	0.9774473657365549	0.08428054715856237
10	20260810	Mean-HVG pseudobulk	demographic	261	0.9786132934281083	0.9880164609685703	0.07468886881548148
10	20260810	PCA pseudobulk	demographic	261	0.9691358024691358	0.9829526482320121	0.0730215316603082
10	20260810	Covariates only: combined	combined	261	0.9515525626636737	0.9726388668317758	0.08900973988478428
10	20260810	Frozen Geneformer	combined	261	0.6717795236313755	0.7983853288022664	0.22856501890125722
10	20260810	Mean-HVG pseudobulk	combined	261	0.6057488464895874	0.7340731319663651	0.3396964701400697
10	20260810	PCA pseudobulk	combined	261	0.679885272477865	0.8102484234905046	0.22307595946487477
11	20260811	Frozen Geneformer	unadjusted	261	0.9753709938895125	0.984742878064581	0.06753814139580601
11	20260811	Mean-HVG pseudobulk	unadjusted	261	0.9887143035291184	0.9931801123370597	0.043105447254923
11	20260811	PCA pseudobulk	unadjusted	261	0.9819179448809079	0.9893687538113944	0.053933095071281384
11	20260811	Covariates only: cell_yield	cell_yield	261	0.6925115351041277	0.7877342335861164	0.22114851734940386
11	20260811	Frozen Geneformer	cell_yield	261	0.920314253647587	0.9499100988664158	0.11582315256693312
11	20260811	Mean-HVG pseudobulk	cell_yield	261	0.9667664297293926	0.9782820536097462	0.07505445852083116
11	20260811	PCA pseudobulk	cell_yield	261	0.9534854720039905	0.9720204395307783	0.08799780811152999
11	20260811	Covariates only: qc_core	qc_core	261	0.7644344681381718	0.860209825345196	0.19720304295449637
11	20260811	Frozen Geneformer	qc_core	261	0.8842748472378102	0.9180045106706745	0.13897971003061613
11	20260811	Mean-HVG pseudobulk	qc_core	261	0.9380845491956603	0.9570025832497683	0.09926369910473377
11	20260811	PCA pseudobulk	qc_core	261	0.913393191170969	0.9443611898344382	0.11843176556511537
11	20260811	Covariates only: acquisition_structure	acquisition_structure	261	0.6352724778650705	0.7423593421692756	0.22107733268208382
11	20260811	Frozen Geneformer	acquisition_structure	261	0.9354034168848984	0.961476936504369	0.10730845056139103
11	20260811	Mean-HVG pseudobulk	acquisition_structure	261	0.9663299663299663	0.9807729213964798	0.07068673486295497
11	20260811	PCA pseudobulk	acquisition_structure	261	0.949619653323357	0.9707467406505814	0.09683755495057322
11	20260811	Covariates only: processing_cohort	processing_cohort	261	0.9268923805960844	0.9438510561372339	0.105254489916714
11	20260811	Frozen Geneformer	processing_cohort	261	0.7443571517645592	0.8444076852294308	0.20517882660305198
11	20260811	Mean-HVG pseudobulk	processing_cohort	261	0.7080059857837635	0.8061663569381751	0.30013420058834994
11	20260811	PCA pseudobulk	processing_cohort	261	0.7441077441077442	0.8553429716802565	0.2045295445672178
