dim,mean,var,zero_frac
431,0.07169582,0.0003880279,0.0
432,-0.0065518585,0.00047319572,0.0
433,0.13675089,0.00066126726,0.0
434,-0.10442215,0.00073249644,0.0
435,-0.011301786,0.0014983889,0.0
436,-0.14544493,0.0007500537,0.0
437,-0.19254725,0.0009503464,0.0
438,-0.036142025,0.0014383587,0.0
439,-0.08785312,0.0003844256,0.0
440,0.0831061,0.00076924806,0.0
441,-0.028699964,0.00058919983,0.0
442,0.11633006,0.001174345,0.0
443,-0.14098978,0.0008218983,0.0
444,-0.047653366,0.0021456038,0.0
445,0.090947494,0.00056524656,0.0
446,-0.10820488,0.00024747598,0.0
447,-0.0071643414,0.0009204211,0.0
448,-0.06470781,0.0004747188,0.0
449,-0.11002032,0.00066255307,0.0
450,-0.020235168,0.00041991862,0.0
451,-0.053757064,0.0009752996,0.0
452,-0.06881611,0.0006968347,0.0
453,-0.057881515,0.0004544891,3.5536350132550586e-06
454,-0.036018874,0.0011264841,0.0
455,-0.044047873,0.0010712291,0.0
456,0.124986745,0.00072960684,0.0
457,-0.031675115,0.000641202,0.0
458,-0.0789989,0.000497264,0.0
459,-0.061426878,0.00030289614,0.0
460,-0.13552453,0.00078537426,0.0
461,0.5627266,0.0005078004,0.0
462,-0.123487584,0.00063628587,0.0
463,0.12908046,0.0005293183,0.0
464,0.07738979,0.0004024552,0.0
465,-0.18475364,0.00049755245,0.0
466,0.098119736,0.00060375006,0.0
467,-0.07464963,0.00054343976,0.0
468,0.20487773,0.0012832088,0.0
469,0.060201984,0.000651021,0.0
470,-0.18062827,0.00066926854,0.0
471,-0.17531565,0.00089564046,0.0
472,-0.114397965,0.0003537785,0.0
473,0.12456744,0.00046339148,0.0
474,-0.05106108,0.00031953971,0.0
475,0.047846943,0.001803946,0.0
476,0.045344863,0.0011182054,0.0
477,-0.04389494,0.0011003661,0.0
478,-0.029282108,0.0004025213,0.0
479,-0.032380156,0.0011347628,0.0
480,0.058033485,0.0002555656,0.0
481,-0.14449224,0.0012147641,0.0
482,0.0029045152,0.0015067233,0.0
483,-0.09597918,0.0010408111,0.0
484,-0.0047405115,0.000626738,0.0
485,-0.1882837,0.0010246423,0.0
